level,time,normalized_nav,drawdown
B5,2023-08-21T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-22T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-23T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-24T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-25T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-08-26T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
