arm,symbol,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points,final_cash_decimal,closed_trades,win_rate,total_cost,fills,mean_holding_days,terminal_mtm_at_exit_reference,exit_reference_time
F2,BTCUSDT,-0.04214512642605461,-0.08171072162232651,-0.54746113951951,-0.5866892024555493,0.13927428914718665,10000.0,9578.548735739463,-421.45126426053685,0.1382725920785998,-0.007826116444700021,-0.015245530916179306,125.0,0.7951263537906137,0.25920686874654203,0.4223826714801444,0.6136778003657448,1108,9578.548735739463565510454462,4,0.25,122.51546256053643,60,19.5,9585.664125882502850082526755,2026-09-08 08:00:00+00:00
F2,ETHUSDT,0.15805238960471213,0.3370914919701209,1.5719407606371547,4.753078330910889,0.0709206683546324,10000.0,11580.523896047114,1580.5238960471142,0.196866590542576,-0.007964898745158882,-0.022295132359065217,114.33333333333333,0.7969314079422383,0.2413954767964952,0.4954873646209386,0.4871879568133273,1108,11580.52389604711418028575745,2,0.5,90.10955495288582,60,45.75,11588.17783843299139536662769,2026-09-08 08:00:00+00:00
F2,BNBUSDT,0.1618225260867341,0.34572278478349006,2.026358750701452,3.994706231934846,0.08654523379458579,10000.0,11618.225260867339,1618.2252608673389,0.15223989418000047,-0.007436179370107969,-0.01864917566307034,81.33333333333333,0.723826714801444,0.23560348499975795,0.38176895306859204,0.6171363153185149,1108,11618.22526086733963815093536,3,0.6666666666666666,107.78315913266036,56,23.5,11626.22074878956757781163474,2026-09-08 08:00:00+00:00
F2,SOLUSDT,0.08576343855238888,0.1769122986858287,1.2786590883156332,1.5039277441401935,0.11763350957194474,10000.0,10857.634385523907,857.6343855239065,0.13440779794362637,-0.006268944342301971,-0.015554281448156404,102.16666666666667,0.6525270758122743,0.134592121540437,0.3131768953068592,0.4297638924115395,1108,10857.63438552390730057174898,3,0.3333333333333333,77.3671744760927,46,19.27777777777778,10863.99771129991693513591817,2026-09-08 08:00:00+00:00
F2,XRPUSDT,-0.025860593220092154,-0.050546931161054354,-0.4885090371963383,-0.8362563313408086,0.060444303100234964,10000.0,9741.394067799074,-258.60593220092596,0.0966370579812324,-0.005252487104020437,-0.01563941158471771,116.66666666666667,0.7608303249097473,0.0879181022002797,0.22653429602888087,0.3881006264458562,1108,9741.394067799073255466065089,3,0.0,58.96708220092675,32,13.944444444444445,9746.238950669749771373770841,2026-09-08 08:00:00+00:00
F3,BTCUSDT,-0.045427433432560504,-0.08792976011170761,-0.6237023008092539,-0.6403513690737864,0.1373148623682815,10000.0,9545.725665674401,-454.27433432559883,0.1333305228801005,-0.007646539489738295,-0.014711343349680606,125.0,0.796028880866426,0.2534055259805025,0.4223826714801444,0.5999429974068307,1108,9545.725665674400643672975018,4,0.25,96.43495562559936,43,19.5,9553.354791176784666383279884,2026-09-08 08:00:00+00:00
F3,ETHUSDT,0.11112748380244897,0.23196287231491297,1.3242219135967468,3.642082292250068,0.06368962964085223,10000.0,11111.274838024498,1111.2748380244975,0.16806709864306096,-0.007817422022745915,-0.01859069994583662,105.0,0.7978339350180506,0.2366047005804337,0.4954873646209386,0.4775191406978516,1108,11111.27483802449758056900021,2,0.5,60.56260297550242,49,45.75,11118.37122293295462600715358,2026-09-08 08:00:00+00:00
F3,BNBUSDT,0.1756016733966259,0.37750231829505476,2.1438846146453483,4.1148912756630995,0.09174053286115602,10000.0,11756.016733966268,1756.0167339662676,0.15497723184154827,-0.00751853334488828,-0.017170982431346515,81.83333333333333,0.7247292418772563,0.23366467504154925,0.38176895306859204,0.6120578249315285,1108,11756.01673396626814827026914,3,0.6666666666666666,89.22448603373185,53,23.5,11764.91061261130732609486082,2026-09-08 08:00:00+00:00
F3,SOLUSDT,0.0878539775148044,0.18140254752371887,1.3210358579516623,1.5346320504604007,0.1182058901150258,10000.0,10878.539775148061,878.5397751480614,0.13281811105011085,-0.0061489297475806615,-0.016610165417888068,102.0,0.6507220216606499,0.1302687039329725,0.3131768953068592,0.41595885866782,1108,10878.53977514806118835287829,3,0.3333333333333333,66.7112148519388,42,19.27777777777778,10884.35929321760036453788534,2026-09-08 08:00:00+00:00
F3,XRPUSDT,-0.025607062409140346,-0.05005767945043871,-0.4922855220187385,-0.8386657178367259,0.05968728467828477,10000.0,9743.929375908592,-256.0706240914078,0.09513988386450759,-0.0052185147399787385,-0.014350331891124557,116.66666666666667,0.759927797833935,0.08685464161909114,0.22653429602888087,0.38340614706754184,1108,9743.929375908592237490996455,3,0.0,49.08280409140776,30,13.944444444444445,9748.764997038365964816151342,2026-09-08 08:00:00+00:00
F4,BTCUSDT,-0.04038393747470337,-0.07836514812493245,-1.0794350744413606,-0.975337875454949,0.08034666764927878,10000.0,9596.160625252965,-403.8393747470345,0.0731247672692089,-0.0042454411233383005,-0.010133512597903738,125.0,0.7942238267148014,0.14201152410443443,0.44855595667870035,0.3165971201362442,1108,9596.160625252964671330472023,4,0.25,44.55308390703533,30,20.708333333333332,9602.700252807299953962483511,2026-09-08 08:00:00+00:00
F4,ETHUSDT,0.029565259554165335,0.059377066272266354,0.7939113004968428,1.7132257799071149,0.034658050893610515,10000.0,10295.652595541653,295.6525955416528,0.07631558476575072,-0.0036795939250803744,-0.017386597440701257,105.33333333333333,0.7987364620938628,0.10275534680907578,0.4954873646209386,0.20738237570939155,1108,10295.65259554165360700052095,2,0.5,27.383012458346393,28,45.75,10302.22829892380517385696420,2026-09-08 08:00:00+00:00
F4,BNBUSDT,0.1206157268172765,0.2528763417130384,2.5205462087019397,5.785257296935237,0.04371047452755483,10000.0,11206.157268172765,1206.1572681727648,0.09108383264197216,-0.0038980449272067908,-0.008594745233790446,81.33333333333333,0.7220216606498195,0.10631131252210861,0.38267148014440433,0.27781352423230266,1108,11206.15726817276551188969642,3,0.3333333333333333,45.976321827234486,34,23.555555555555557,11214.63498361118968859663057,2026-09-08 08:00:00+00:00
F4,SOLUSDT,0.044255596717110324,0.08951037655611294,1.4196313780351877,2.215100903728726,0.04040916438860109,10000.0,10442.555967171113,442.55596717111257,0.061727296527985115,-0.0028522543327558453,-0.008371737516875921,102.0,0.6498194945848376,0.054751591024569383,0.3131768953068592,0.1748264059228325,1108,10442.55596717111258692975799,3,0.3333333333333333,25.516002828887412,33,19.27777777777778,10448.14222427292958357187534,2026-09-08 08:00:00+00:00
F4,XRPUSDT,-0.01271019798140205,-0.025005387847973126,-0.5886265733723439,-0.8351297527803263,0.029941919521756732,10000.0,9872.898020185956,-127.10197981404417,0.041556381966316586,-0.0021829764376607975,-0.008018519237468102,116.66666666666667,0.759927797833935,0.034832395142947954,0.22653429602888087,0.15376212676647938,1108,9872.898020185956071596152745,3,0.0,17.799109814043927,23,13.944444444444445,9876.222152966947486631303329,2026-09-08 08:00:00+00:00
F5,BTCUSDT,0.028474597425697024,0.057156542860067105,0.3630385759979776,0.2784951590913344,0.2052335237946532,10000.0,10284.745974256944,284.74597425694446,0.21858812433272679,-0.010423340186490616,-0.025235535037592238,125.0,0.9720216606498195,0.5638370713703018,0.9972924187725631,0.5653678507495877,1108,10284.74597425694455179840038,1,1.0,60.226047743055446,96,184.16666666666666,10292.86295282636909146314506,2026-09-08 08:00:00+00:00
F5,ETHUSDT,0.07278129073276007,0.14921751271339767,0.7249772904202141,0.7749082510069434,0.1925615226312265,10000.0,10727.812907327649,727.8129073276486,0.22719398839159927,-0.011047787206910272,-0.019032322714946925,120.0,0.9729241877256317,0.43038082045938925,0.9972924187725631,0.4315492751755686,1108,10727.81290732764870000654245,1,1.0,58.3939716723513,89,184.16666666666666,10734.66437551361580531836356,2026-09-08 08:00:00+00:00
F5,BNBUSDT,0.2585673348605293,0.5766050100206501,2.1894684806420086,4.929506321888783,0.1169701329847811,10000.0,12585.673348605282,2585.6733486052817,0.21887554845033044,-0.009837930765361902,-0.017331280957920248,81.16666666666667,0.9666064981949458,0.5927313411633497,0.9972924187725631,0.5943405665239742,1108,12585.67334860528189831714662,1,1.0,78.4255213947181,111,184.16666666666666,12595.19554714850172649940380,2026-09-08 08:00:00+00:00
F5,SOLUSDT,0.09239397866927712,0.191183113756346,0.9205233817244688,1.101545156403205,0.17355903445720033,10000.0,10923.939786692774,923.9397866927739,0.21514607379662656,-0.009893382705964585,-0.0166104758463107,107.5,0.9729241877256317,0.40983728998172697,0.9972924187725631,0.4109499704070167,1108,10923.93978669277355663672049,1,1.0,48.09413330722644,97,184.16666666666666,10929.78356282561587157244061,2026-09-08 08:00:00+00:00
F5,XRPUSDT,0.0489249625929804,0.09917592459215818,0.5238937665720669,0.5359268884760757,0.18505495194347854,10000.0,10489.249625929839,489.24962592983866,0.23122998063094963,-0.010096685806002755,-0.01626764490693733,99.16666666666667,0.9828519855595668,0.45119888275304304,0.9972924187725631,0.452423857095359,1108,10489.24962592983861314617516,1,1.0,57.75667407016139,98,184.16666666666666,10494.51538850909508415376651,2026-09-08 08:00:00+00:00
