arm,month,start,end,partial_month,start_equity,end_equity,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points
CASH,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
CASH,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
CASH,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
CASH,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
F2,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
F2,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50000.0,49520.81103704301,-0.009583779259138892,-0.11063294237104071,-1.1889123303376243,-3.888858486297202,0.028448693301869277,50000.0,49520.81103704301,-479.1889629569923,0.09481991583321432,-0.005826808870673538,-0.012628914324413043,4.5,0.6132596685082873,0.19350534910920647,0.6685082872928176,0.28945841478319306,181
F2,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,49520.81103704301,49442.33024916917,-0.0015848041708186322,-0.018513857006531187,-0.07205122151048367,-0.38198236201278196,0.048467832150615564,49520.81103704301,49442.33024916917,-78.48078787383565,0.13421034818437347,-0.0075130230396592505,-0.013678009240994382,20.0,0.8877005347593583,0.34206375309218223,1.0,0.34206375309218223,187
F2,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,49442.33024916917,48805.62845529467,-0.012877665568466812,-0.14598271538548935,-8.500675662355954,-11.038773885307446,0.01322454077801083,49442.33024916917,48805.62845529467,-636.7017938745048,0.01854278165749553,-0.001393411985868472,-0.0020388205437474882,30.0,0.994475138121547,0.010425945397947422,0.1712707182320442,0.0608740682912414,181
F2,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,48805.62845529467,47949.09777762896,-0.017549834000197606,-0.18829039619713273,-3.010427997355377,-9.47656066572966,0.019869064615188115,48805.62845529467,47949.09777762896,-856.5306776657089,0.06851299859470807,-0.004029719805216658,-0.006405642560583402,17.0,0.8823529411764706,0.1758135859021167,0.8983957219251337,0.1956972652600942,187
F2,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,47949.09777762896,52540.59640330809,0.0957577689359852,1.9371571051031045,6.340506028350602,113.39526215146674,0.017083227891087405,47949.09777762896,52540.59640330809,4591.498625679131,0.1722920320101771,-0.005908866024313142,-0.013182709584724006,9.833333333333334,0.8609625668449198,0.32137443648889596,1.0,0.32137443648889596,187
F2,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,52540.59640330809,53376.32634597689,0.01590636574152393,1.1566233174388056,3.762584481345074,76.02053589203487,0.015214616733055575,52540.59640330809,53376.32634597689,835.7299426688041,0.21011890911036735,-0.007158624528206814,-0.009784689041124395,2.3333333333333335,0.8913043478260869,0.4522478680995708,0.9782608695652174,0.4622978207240057,46
F3,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
F3,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50000.0,49604.89685347275,-0.007902062930546183,-0.09207159256442843,-1.0598801922637395,-3.6178829352875868,0.02544902480574862,50000.0,49604.89685347275,-395.10314652725356,0.08750921510912267,-0.005370630732415776,-0.01068596760117091,8.333333333333334,0.6243093922651933,0.183725760853238,0.6685082872928176,0.27482944392095937,181
F3,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,49604.89685347275,49678.30799196613,0.0014799171684651835,0.017576557432336992,0.19626948853110784,0.3695159563792154,0.04756643692620155,49604.89685347275,49678.30799196613,73.4111384933858,0.13582822380227164,-0.007541845781732892,-0.013648553189956725,20.0,0.8877005347593583,0.34470708654922155,1.0,0.34470708654922155,187
F3,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,49678.30799196613,48981.57897507254,-0.014024813747808618,-0.15798782490585228,-8.459322448324382,-10.980858561134546,0.014387565783337886,49678.30799196613,48981.57897507254,-696.7290168935942,0.02030279139994839,-0.0015210820052829292,-0.002260174985084018,30.0,0.994475138121547,0.011331600821665797,0.1712707182320442,0.0661619273781132,181
F3,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,48981.57897507254,48090.700353663546,-0.018188033951750615,-0.1944813145557367,-3.2051636264996377,-10.069066167298695,0.019314732004379276,48981.57897507254,48090.700353663546,-890.8786214089923,0.06677551642584877,-0.004009505036969086,-0.006701471244442536,18.333333333333332,0.8877005347593583,0.16912797092416515,0.8983957219251337,0.18825553906439807,187
F3,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,48090.700353663546,52252.58194496982,0.08654233689048696,1.658954894005384,6.301489478668287,95.02394945797514,0.017458281869657144,48090.700353663546,52252.58194496982,4161.881591306272,0.1571729075169635,-0.005811440496904685,-0.011934788246133698,9.833333333333334,0.8556149732620321,0.3147961584552633,1.0,0.3147961584552633,187
