arm,mode,cost_multiplier,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points,final_cash_decimal,total_cost,fills,closed_trades,win_rate,rejections
F3,REDECIDE_FUNDED,1.5,0.05687872441362862,0.11573740911130881,1.095161557106554,1.7166017609362187,0.0674223991522569,50000.0,52843.93622068125,2843.936220681251,0.10502377869872538,-0.005267521577778654,-0.013649597493653576,101.33333333333333,0.7942238267148014,0.18903304494232767,0.6633574007220217,0.28496410040285586,1108,52843.93622068125551491018573,542.0748576887445,217,15,0.3333333333333333,0
F3,REDECIDE_FUNDED,2,0.053060647420011486,0.10777203543396086,1.0267322643394616,1.5630902162346116,0.06894805834917006,50000.0,52653.03237100054,2653.0323710005396,0.1050472641920653,-0.005273483500447534,-0.0136509778838938,101.5,0.7951263537906137,0.18903507352121882,0.6633574007220217,0.2849671584510346,1108,52653.03237100053730997371343,721.5024705494627,217,15,0.3333333333333333,0
F4,FROZEN_ORDERS_FUNDED,1.5,0.026656238448954594,0.05345959838642811,0.9547459751825831,1.5260269156149784,0.035031884326158336,50000.0,51332.81192244783,1332.8119224478287,0.056199846126685944,-0.002765189489565213,-0.009161754792562093,103.0,0.7942238267148014,0.08848746421040876,0.6642599277978339,0.13321210644719145,1108,51332.81192244782678772802881,241.84008471217322,148,15,0.26666666666666666,0
F4,FROZEN_ORDERS_FUNDED,2,0.02504400352530456,0.05018708969341512,0.8983962064772812,1.4079764862932407,0.0356448351105223,50000.0,51252.200176265294,1252.2001762652944,0.05626574303092858,-0.002769754025515591,-0.009173101346068413,103.0,0.7942238267148014,0.08854685801844711,0.6642599277978339,0.13330151995168393,1108,51252.20017626529986978154321,322.45183089470015,148,15,0.26666666666666666,0
F4,REDECIDE_FUNDED,0,0.03158929230579921,0.06350398660725376,1.125008627832993,1.9060017022599236,0.0333179065537863,50000.0,51579.464615289995,1579.464615289995,0.05612594452558753,-0.002756236542387751,-0.009149784090446422,102.83333333333333,0.7933212996389891,0.08842755820149721,0.6642599277978339,0.13312192185768876,1108,51579.46461529000000000000000,0.0,148,15,0.26666666666666666,0
F4,REDECIDE_FUNDED,0.5,0.029926505106209422,0.06011304910682602,1.0680286293826176,1.7739709742403955,0.033886151453276225,50000.0,51496.32525531058,1496.3252553105776,0.056130313373122756,-0.002758143709856032,-0.009150143579785497,102.83333333333333,0.7933212996389891,0.08842850684506123,0.6642599277978339,0.1331233499787063,1108,51496.32525531057791287813091,80.67834882942209,148,15,0.26666666666666666,0
F4,REDECIDE_FUNDED,1,0.028268489526491525,0.056737178432213486,1.0110661350264862,1.6468814977801518,0.03445128171558798,50000.0,51413.42447632445,1413.4244763244496,0.0561383962949469,-0.0027606330986101385,-0.009150437155611924,102.83333333333333,0.7933212996389891,0.08842818398281022,0.6642599277978339,0.13312286393064363,1108,51413.42447632445244874660012,161.22753083554755,148,15,0.26666666666666666,0
F4,REDECIDE_FUNDED,1.5,0.026610229351113013,0.05336613944190094,0.9539473006179898,1.5239337592948807,0.035018673952464496,50000.0,51330.51146755579,1330.5114675557925,0.05615102947859051,-0.00276318538986921,-0.009150792484957648,103.0,0.7942238267148014,0.08842840672344113,0.6642599277978339,0.13312319925213692,1108,51330.51146755579130054854509,241.6387867942087,148,15,0.26666666666666666,0
F4,REDECIDE_FUNDED,2,0.02495764049243765,0.05001193249857905,0.8968850892311643,1.4041124627794495,0.035618181466447574,50000.0,51247.882024621795,1247.8820246217947,0.05616848774606556,-0.002765696930691268,-0.009151061152116169,103.0,0.7942238267148014,0.0884291541427749,0.6642599277978339,0.13312432444319916,1108,51247.88202462179079469759408,321.93519858820923,148,15,0.26666666666666666,0
F5,FROZEN_ORDERS_FUNDED,1.5,0.09719960434682817,0.20157939072078324,1.008668376596982,1.4007136784090777,0.14391191706626005,50000.0,54859.980217341654,4859.980217341654,0.20228073292527124,-0.009507265639840128,-0.01633810125978441,101.83333333333333,0.9693140794223827,0.49078573334325887,0.9972924187725631,0.492118183298037,1108,54859.98021734165339198690422,454.33777365834663,491,5,1.0,0
F5,FROZEN_ORDERS_FUNDED,2,0.09417086581905387,0.19502194324411715,0.9805965873654371,1.3489156654022627,0.14457682436800767,50000.0,54708.54329095277,4708.5432909527735,0.20254449114494824,-0.0095199945639699,-0.01635571322408369,101.83333333333333,0.970216606498195,0.49138129681043885,0.9972924187725631,0.4927153636796075,1108,54708.54329095276773882177441,605.7747000472323,491,5,1.0,0
F5,REDECIDE_FUNDED,0,0.10680267848059777,0.22248817558178335,1.0951778457556887,1.5647230734263775,0.14219012895015748,50000.0,55340.13392403,5340.13392403,0.20200530743314357,-0.009488888830844977,-0.016317804343887188,101.5,0.9675090252707581,0.49019064432251336,0.9972924187725631,0.49152147865099066,1108,55340.13392403000000000000000,0.0,492,5,1.0,0
