open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1614456000000,1511.99,1520.0,1500.68,1508.2,29379.19564,1614459599999,44419651.442093,36162,14719.05972,22257440.5975591
1614459600000,1508.18,1523.48,1497.43,1506.71,32024.71873,1614463199999,48408740.4311394,33966,15368.78783,23237184.2756688
1614463200000,1506.74,1510.0,1460.71,1463.27,23956.45339,1614466799999,35654331.073705,31903,10484.96006,15617094.4850413
1614466800000,1463.47,1469.85,1425.0,1458.13,70881.76542,1614470399999,102688830.6309979,70958,32463.14463,47050908.0311548
1614470400000,1458.27,1467.66,1441.56,1460.4,34919.4934,1614473999999,50817267.2140062,34672,17801.66118,25911186.6642354
1614474000000,1460.4,1468.75,1449.64,1463.78,25951.16128,1614477599999,37911998.3417401,24736,13036.7299,19044192.6497248
1614477600000,1463.54,1465.56,1423.1,1430.79,36344.35428,1614481199999,52374777.0273189,36833,15852.17567,22845412.4369953
1614481200000,1430.66,1430.66,1366.43,1369.29,108244.1563,1614484799999,151603575.5092294,86599,48466.20538,67947884.523961
1614484800000,1369.29,1396.96,1363.16,1369.17,71830.92178,1614488399999,99320250.9146528,55393,35644.15496,49299727.2434029
1614488400000,1368.68,1398.01,1352.69,1362.89,69272.37582,1614491999999,95111888.079731,54228,34900.87864,47953849.958162
1614492000000,1363.16,1365.49,1313.74,1334.73,119903.51659,1614495599999,160679900.5432541,98603,55770.65942,74763580.023962
1614495600000,1334.53,1355.28,1322.5,1342.5,57211.18619,1614499199999,76629853.9353393,47712,32084.14979,42964210.0148047
1614499200000,1342.43,1373.99,1342.01,1359.59,52540.52575,1614502799999,71437331.1133098,45503,27863.83706,37876047.439241
1614502800000,1359.69,1379.09,1349.27,1364.41,44523.55809,1614506399999,60927774.941961,39519,24062.81044,32931751.9900219
1614506400000,1364.34,1379.97,1354.6,1362.81,43055.42375,1614509999999,58884736.7309601,33575,23193.39884,31720440.9253164
1614510000000,1363.09,1384.53,1358.4,1371.53,33134.34544,1614513599999,45512267.1861403,30324,17887.17932,24575238.0595994
1614513600000,1371.67,1379.9,1347.12,1358.28,41062.39419,1614517199999,55838439.4360388,40629,19206.4739,26122162.4988598
1614517200000,1358.33,1365.42,1334.0,1335.53,45243.64001,1614520799999,61284095.3151602,38325,22379.02863,30322564.7230341
1614520800000,1335.04,1356.6,1315.87,1354.83,78945.07013,1614524399999,105393122.4384171,67802,38633.74201,51617839.1949072
1614524400000,1354.82,1356.5,1293.18,1318.22,103885.05282,1614527999999,136618468.0835947,80688,40962.74209,53910473.7390073
1614528000000,1318.29,1368.0,1301.71,1346.86,131006.04302,1614531599999,175856527.9384225,96855,72232.18564,97075915.3020083
1614531600000,1346.86,1358.44,1327.56,1328.28,66445.96766,1614535199999,89164842.8448919,46019,36149.29964,48463504.9822301
1614535200000,1328.28,1358.54,1324.03,1349.7,35030.26854,1614538799999,47035647.7414935,31791,19700.18089,26434181.3445607
1614538800000,1349.69,1395.0,1346.23,1389.24,47708.36699,1614542399999,65333447.8918905,41058,24172.8601,33082802.0865215
1614542400000,1388.96,1415.02,1382.25,1408.65,51448.31142,1614545999999,71832191.605551,44309,26727.53895,37329073.6033578
1614546000000,1408.64,1423.66,1399.9,1412.66,44277.94858,1614549599999,62549562.7385596,45443,22061.61431,31173459.1931985
1614549600000,1412.67,1422.0,1393.35,1420.82,25198.11102,1614553199999,35574283.6013281,28972,12731.00554,17981578.1840443
1614553200000,1420.75,1442.0,1406.96,1419.18,43025.36979,1614556799999,61447795.4732678,40958,22539.83176,32190861.2961883
1614556800000,1418.67,1449.99,1409.91,1440.76,48482.8716,1614560399999,69645617.9123443,45108,25561.59079,36717039.4531294
1614560400000,1440.77,1447.39,1426.3,1439.55,27214.4069,1614563999999,39089167.9867711,28258,14436.87128,20738573.4020731
1614564000000,1439.73,1456.88,1434.96,1440.05,43927.60124,1614567599999,63470595.7721981,37234,22117.08379,31958443.1053629
1614567600000,1440.31,1446.15,1431.27,1434.06,33488.96519,1614571199999,48173922.2178143,27998,16509.53282,23753315.8975192
1614571200000,1434.06,1451.92,1421.46,1441.63,33633.18294,1614574799999,48275295.7589902,31299,17087.2873,24540215.9862367
1614574800000,1441.9,1448.1,1427.94,1433.71,28600.1106,1614578399999,41169527.9287089,25230,14487.11687,20859129.9672961
1614578400000,1433.72,1442.93,1420.52,1424.36,27076.40447,1614581999999,38707290.5347371,27767,13670.6798,19544846.2081281
1614582000000,1424.36,1441.0,1422.24,1437.74,26410.97932,1614585599999,37769142.843219,24832,13845.45948,19803621.7540308
1614585600000,1437.74,1474.1,1437.7,1464.46,65136.84609,1614589199999,94989873.1879258,57247,33700.69653,49128791.2940328
1614589200000,1464.48,1510.04,1464.22,1504.17,89093.96636,1614592799999,133307942.3801153,84488,50970.39904,76295335.2983761
1614592800000,1504.17,1531.0,1495.91,1522.87,78336.05004,1614596399999,118691048.7990169,65483,42800.23382,64880156.7070652
1614596400000,1523.06,1530.72,1513.36,1524.96,45203.07069,1614599999999,68844515.9844064,41912,22353.26434,34057526.4184748
1614600000000,1524.95,1536.16,1509.77,1528.95,55408.12927,1614603599999,84469501.6447133,47211,29357.30453,44772339.3529141
1614603600000,1528.94,1539.05,1522.56,1522.81,49174.54918,1614607199999,75297196.3195342,46614,24738.72562,37883385.1245174
1614607200000,1522.74,1541.6,1514.12,1526.0,64642.20909,1614610799999,98720490.1859232,49051,34557.52929,52774632.5570911
1614610800000,1525.91,1555.32,1525.85,1551.73,65911.42975,1614614399999,101804528.0025423,56444,33948.24429,52437871.7430499
1614614400000,1551.75,1565.0,1526.17,1542.86,78770.0432,1614617999999,121756319.3138178,71009,39748.93506,61446786.8266525
1614618000000,1543.13,1549.15,1518.03,1520.83,39970.91466,1614621599999,61268169.1414781,41306,20164.66418,30917518.295277
1614621600000,1520.84,1529.63,1513.1,1524.14,34750.3086,1614625199999,52873029.286474,31388,16758.60564,25497397.013955
1614625200000,1524.14,1531.87,1502.49,1513.26,37983.07066,1614628799999,57628125.6969503,34524,17411.10959,26422127.5588378
1614628800000,1513.35,1525.92,1505.0,1518.14,34478.2235,1614632399999,52251893.8523119,31334,16426.9736,24900307.8546737
1614632400000,1518.3,1547.63,1513.85,1544.4,26572.42275,1614635999999,40568795.6880759,26342,14157.11625,21616873.9108504
1614636000000,1544.38,1554.68,1535.53,1550.06,23966.23585,1614639599999,37006193.8426873,25481,13532.4106,20901056.3716224
1614639600000,1550.22,1572.0,1547.01,1569.86,36463.18644,1614643199999,56849092.0298031,31446,20255.21042,31587485.2738819
1614643200000,1570.0,1602.9,1558.64,1564.33,64448.07227,1614646799999,102034942.0572043,64903,34236.82605,54237772.2153128
1614646800000,1564.34,1570.31,1540.0,1567.91,35215.0708,1614650399999,54795913.8453197,34383,18339.0326,28544953.1278085
1614650400000,1567.71,1585.0,1547.97,1567.51,42768.08745,1614653999999,67190125.8359246,38242,23377.31141,36744808.4977205
1614654000000,1567.89,1575.5,1547.85,1555.48,34025.78277,1614657599999,53011438.317173,28987,15969.43091,24878555.0915102
1614657600000,1555.7,1577.71,1552.32,1577.28,33149.82404,1614661199999,51833106.8812097,28415,15980.11646,24994692.5760409
1614661200000,1577.5,1583.26,1557.22,1557.26,26513.84304,1614664799999,41636710.0590608,25295,14198.76116,22298634.4726068
1614664800000,1557.56,1559.69,1534.43,1542.66,36244.52855,1614668399999,56022608.1980917,35880,17769.30885,27468038.3869703
1614668400000,1542.54,1548.7,1530.35,1539.03,26318.76478,1614671999999,40545919.7804054,27670,12718.60859,19593949.199676
1614672000000,1538.9,1564.08,1538.23,1558.24,30321.98324,1614675599999,47145340.1994453,31116,16134.99891,25086744.2898966
1614675600000,1558.53,1573.46,1558.38,1564.18,27106.61114,1614679199999,42475804.8294713,30601,14176.79104,22216023.9335791
1614679200000,1564.31,1570.7,1549.3,1555.93,25176.92589,1614682799999,39320667.6731997,25869,11445.34634,17881027.6200676
1614682800000,1556.32,1571.51,1548.74,1567.59,26677.4023,1614686399999,41624098.4652741,24695,15646.64037,24410038.5184003
